scheme_id,scheme_name,ministry,applicant_type,business_type,business_status,age_min,gender,sc_st,rural,loan_support,benefit,official_url,source_url
S001,Prime Minister Employment Generation Programme (PMEGP),Ministry of MSME,Individuals; SHGs; institutions; production co-operatives; charitable trusts,Manufacturing; Business/Service,New projects only,18,Any,Yes,Yes,Yes,Credit-linked government subsidy,https://www.kviconline.gov.in/pmegpeportal/pmegphome/index.jsp,https://my.msme.gov.in/MyMsme/Reg/COM_PMEGPForm.aspx
S002,Credit Guarantee Scheme for Micro & Small Enterprises (CGTMSE),Ministry of MSME,Micro & Small Enterprises through eligible lending institutions,Manufacturing; Service,New/Existing,Not specified,Any,Yes,Yes,Yes,Credit guarantee support for eligible MSE loans,https://www.cgtmse.in/,https://my.msme.gov.in/mymsme/Scheme.aspx
S003,Micro & Small Enterprises Cluster Development Programme (MSE-CDP),Ministry of MSME,MSE clusters; implementing agencies; cluster organisations,Manufacturing; Service; Cluster-based,Existing/Cluster-based,Not specified,Any,Yes,Yes,No,Grant/support for common infrastructure and cluster development,https://msme.gov.in/micro-small-enterprises-cluster-development-programme,https://my.msme.gov.in/mymsme/Scheme.aspx
S004,Scheme of Fund for Regeneration of Traditional Industries (SFURTI),Ministry of MSME,Traditional industry clusters; artisans; implementing agencies,Traditional industries; Handicrafts; Handloom; Village industries,Existing/Cluster-based,Not specified,Any,Yes,Yes,No,"Cluster development, infrastructure, skills and market support",https://sfurti.msme.gov.in/,https://my.msme.gov.in/mymsme/Scheme.aspx
S005,Entrepreneurship Skill Development Programme (ESDP),Ministry of MSME,Aspiring and existing entrepreneurs; trainees,Entrepreneurship; Manufacturing; Service,New/Existing,Not specified,Any,Yes,Yes,No,Entrepreneurship and skill-development training,https://msme.gov.in/entrepreneurship-skill-development-programme-esdp,https://my.msme.gov.in/files/assets/pdf/v2.0%20-2025-%20Scheme%20booklet%20Eng-14.02.2025.pdf
S006,Assistance to Training Institutions (ATI),Ministry of MSME,Training institutions and organisations,Entrepreneurship; Skill development,Institutional,Not specified,Any,Yes,Yes,No,Financial assistance for strengthening training infrastructure and programmes,https://msme.gov.in/assistance-training-institutions-ati,https://my.msme.gov.in/files/assets/pdf/v2.0%20-2025-%20Scheme%20booklet%20Eng-14.02.2025.pdf
S007,Coir Vikas Yojana (CVY),Ministry of MSME / Coir Board,"Coir artisans; entrepreneurs; coir units; institutions, as applicable",Coir; Coir products,New/Existing,Not specified,Any,Yes,Yes,Some components may provide financial assistance; not a general loan scheme,"Development support for coir sector, technology, skills, infrastructure and market promotion",https://coirboard.gov.in/,https://my.msme.gov.in/mymsme/Scheme.aspx
S008,Procurement and Marketing Support (PMS) Scheme,Ministry of MSME,Micro & Small Enterprises,Manufacturing; Service,Existing,Not specified,Any,Yes,Yes,No,"Support for procurement, trade fairs, packaging, barcoding and market access",https://msme.gov.in/procurement-and-marketing-support-pms-scheme,https://my.msme.gov.in/files/assets/pdf/v2.0%20-2025-%20Scheme%20booklet%20Eng-14.02.2025.pdf
S009,International Cooperation (IC) Scheme,Ministry of MSME,MSMEs; industry associations; other eligible organisations,Manufacturing; Service; Export-oriented,Existing,Not specified,Any,Yes,Yes,No,"Support for international exhibitions, delegations, market access and related activities",https://msme.gov.in/international-cooperation-scheme,https://my.msme.gov.in/files/assets/pdf/v2.0%20-2025-%20Scheme%20booklet%20Eng-14.02.2025.pdf
S010,National SC-ST Hub,Ministry of MSME,SC/ST entrepreneurs and eligible MSEs,Manufacturing; Service,New/Existing,Not specified,Any,Yes,Yes,No,"Professional support, capacity building and market/procurement assistance for SC/ST entrepreneurs",https://www.scsthub.in/,https://my.msme.gov.in/files/assets/pdf/v2.0%20-2025-%20Scheme%20booklet%20Eng-14.02.2025.pdf
S011,"A Scheme for Promotion of Innovation, Rural Industry and Entrepreneurship (ASPIRE)",Ministry of MSME,Institutions; entrepreneurs/startups through eligible incubator mechanisms,Rural industry; Innovation; Agro-based,New/Incubation,Not specified,Any,Yes,Yes,No,"Support for livelihood business incubators, technology/business incubation and rural entrepreneurship",https://aspire.msme.gov.in/,https://my.msme.gov.in/files/assets/pdf/v2.0%20-2025-%20Scheme%20booklet%20Eng-14.02.2025.pdf
S012,Khadi Gramodyog Vikas Yojana,Ministry of MSME / KVIC,"Khadi and village-industry artisans, entrepreneurs and eligible institutions",Khadi; Village industries,New/Existing,Not specified,Any,Yes,Yes,Some components may provide financial assistance; not a general loan scheme,"Support for khadi and village industries, production, skills, infrastructure and market development",https://www.kviconline.gov.in/,https://my.msme.gov.in/files/assets/pdf/v2.0%20-2025-%20Scheme%20booklet%20Eng-14.02.2025.pdf
S013,Financial Support to MSMEs in ZED Certification Scheme,Ministry of MSME,"Micro, Small & Medium Enterprises",Manufacturing; Service,Existing,Not specified,Any,Yes,Yes,No,Financial support related to ZED certification and quality/environmental improvement,https://zed.msme.gov.in/,https://my.msme.gov.in/mymsme/Scheme.aspx
S014,Performance and Credit Rating Scheme,Ministry of MSME,Micro & Small Enterprises,Manufacturing; Service,Existing,Not specified,Any,Yes,Yes,No,Support towards performance and credit-rating costs for eligible MSEs,https://msme.gov.in/performance-and-credit-rating-scheme,https://my.msme.gov.in/mymsme/Scheme.aspx
S015,Lean Manufacturing Competitiveness for MSMEs,Ministry of MSME,Micro & Small Enterprises / eligible manufacturing clusters,Manufacturing,Existing,Not specified,Any,Yes,Yes,No,"Support for lean manufacturing practices, productivity and competitiveness",https://msme.gov.in/lean-manufacturing-competitiveness-msmes,https://my.msme.gov.in/mymsme/Scheme.aspx
