scheme_id,scheme_name,ministry,applicant_type,business_type,business_status,age_min,gender,sc_st,rural,loan_support,benefit,official_url,source_url
S001,Agri-Clinics And Agri-Business Centres Scheme,Not specified,"The age of the applicant must be between 18 and 60 years. The applicant must qualify as one of the following - Graduates in agriculture and allied subjects from SAUs/ Central Agricultural Universities/ Universities recognized by ICAR/ UGC. Degree in Agriculture and allied subjects offered by other agencies are also considered subject to the approval of the Department of Agriculture & Cooperation, Government of India on the recommendation of the State Government. Diploma (with at least 50% marks)/ Post Graduate Diploma holders in Agriculture and allied subjects from State Agricultural Universities, State Agriculture and Allied Departments, and State Department of Technical Education. Diplomas in Agriculture and allied subjects offered by other agencies are also considered subject to the approval of the Department of Agriculture & Cooperation, Government of India on the recommendation of the State Government. Biological Science Graduates with Post Graduation in Agriculture & allied subjects. Degree courses recognized by UGC have more than 60 percent of the course content in Agriculture and allied subjects. Diploma/Post-graduate Diploma courses with more than 60 percent of course content in Agriculture and allied subjects, after B.Sc. with Biological Sciences, from recognized colleges and universities. Agriculture-related courses at intermediate (i.e. plus two) level, with at least 55% marks.","Agriculture,Rural & Environment, Business & Entrepreneurship, Skills & Employment",New/Existing,Not specified,Any,Not specified,Not specified,Yes,"Agri-Clinics - Agri-Clinics are envisaged to provide expert advice and services to farmers on various aspects to enhance the productivity of crops/animals and increase the incomes of farmers. Agri-Clinics provide support in the following areas: Soil health Cropping practices Plant protection Crop insurance post-harvest technology clinical services for animals, feed and fodder management prices of various crops in the market, etc. ﻿ Agri-Business Centres - Agri-Business Centres are commercial units of agri-ventures established by trained agriculture professionals. These ventures may include maintenance and custom hiring of farm equipment, sale of inputs, and other services in agriculture and allied areas, including post-harvest management and market linkages for income generation and entrepreneurship development. ﻿ The scheme covers full financial support for training and handholding, provision of loans, and credit-linked back-end composite subsidy. ﻿ Project activities - Extension consultancy services Soil and water quality cum inputs testing laboratories (with Atomic Absorption Spectrophotometers) Pest surveillance, diagnostic and control services Maintenance, repairs, and custom hiring of agricultural implements and machinery including micro-irrigation systems (sprinkler and drip) Agri Service Centres include the three activities mentioned above (Group Activity). Seed Processing Units Micro-propagation through Plant Tissue Culture Labs and Hardening Units Setting up of Vermiculture units, production of bio-fertilizers, bio-pesticides, and bio-control agents. Setting up of Apiaries (bee-keeping) and honey & bee products' processing units Provision of Extension Consultancy Services Hatcheries and production of fish fingerlings for aquaculture Provision of livestock health cover, setting up veterinary dispensaries & services including frozen semen banks and liquid nitrogen supply Setting up of Information Technology Kiosks in rural areas for access to various agriculture-related portals Feed Processing and testing units Value Addition Centres Setting up of Cool Chain from the farm level onwards (Group Activity) Retail marketing outlets for processed agri-products Rural marketing dealerships of farm inputs and outputs",Not provided in source dataset,Not provided in source dataset
S002,Self Employment Scheme For Rehabilitation Of Manual Scavengers,Not specified,The applicant should be engaged or employed as a Manual Scavenger by an individual or a local authority or an agency or a contractor (as identified during the survey conducted by State Governments & allotted MS-ID/Receipt No. and their dependents). Sanitation Workers and their dependents are eligible only for assistance for sanitation-related self-employment projects.,"Skills & Employment, Social welfare & Empowerment, Education & Learning",New/Existing,Not specified,Any,Not specified,Not specified,Yes,"Identified manual scavengers, one from each family, are provided one-time cash assistance of ₹ 40,000. The identified manual scavengers and their dependents are provided project-based upfront capital subsidy up to ₹ 5,00,000 and concessional loans for undertaking self-employment ventures. Sanitation workers and their dependants are provided assistance for the procurement of sanitation-related projects on the same scale as admissible to manual scavengers for general tasks. The group of the target beneficiaries is eligible for projects costing up to ₹ 50,00,000. Beneficiaries are also provided training for skill development for up to two years, during which a stipend of ₹ 3,000 per month is also provided. Manual Scavengers and their family members are also eligible for Health Insurance coverage of ₹ 5,00,000 under the Ayushman Bharat Pradhan Mantri Jan Arogya Yojana (AB PMJAY) Upskilling/RPL training is provided to sanitation workers. Workshops are organized with the officers, supervisors, and sanitation workers on “Hazardous Cleaning of Sewers and Septic Tanks”. Credit Linked upfront Capital Subsidy - Range of Project Cost (₹) (for Individuals): Upto ₹5,00,000 Rate of Subsidy: 50% of project cost Range of Project Cost (₹) (for Individuals): 5,00,000 to 15,00,000 Rate of Subsidy: ₹2.5 lakh + 25% of remaining project cost Range of Project Cost (₹) (for Group Projects): Upto ₹10,00,000 lakh per beneficiary maximum project cost upto ₹50,00,000 Rate of Subsidy: Same as admissible to individuals subject to a maximum ₹3.75 lakh per beneficiary The rate of interest chargeable from the beneficiaries will be as follows:- Range of Projects: up to ₹1,00,000/- Rate of Subsidy: 5% per annum (4% per annum for women beneficiaries) Range of Projects: above 1,00,000/- Rate of Subsidy: 6% per annum The period of repayment of the loan, including the moratorium period will be five years for projects upto ₹5,00,000/- and 7 years for projects above ₹ 5,00,000/- with a moratorium period to start the repayment of the loan will be upto 6 months.",Not provided in source dataset,Not provided in source dataset
S003,National Startup Awards,Not specified,"The startup should be a (DPIIT)Department for Promotion of Industry and Internal Trade -recognized startup. The entity must submit its certificate of recognition. The entity must submit the Certificate of Incorporation issued by the Ministry of Corporate Affairs or Certificate of Registration from the Registrar of Firms of the respective state The entity must have a hardware or software product or a process solution that is present in the market. The entity must have all applicable trade trade-specific registrations (for example (CE)Common Era, (FSSAI) Food Safety and Standards Authority of India, (MSME)Ministry of Micro, Small & Medium Enterprises, (GST)Goods and Services Tax Registration, etc.) There should not have been any default in the last three years (FY)Fiscal year 2019-20, 20-21, 21-22) by the entity or any of its promoters or any of their group entities. The entity must submit audited financial statements (balance sheet, profit & loss account) for the last three financial years (FY)Fiscal year  2019-20, 20-21, 21-22. In case your startup is less than 3 years old, please upload all available financial statements. Startups that are less than a year old and do not have audited financials will be exempt from this requirement. In case of non-availability of audited financials for (FY)Fiscal year  21-22, provisional statements issued by Chartered Accountants may be provided. The entity should not be completing 10 years of incorporation on or before March 31st, 2024.",Business & Entrepreneurship,New/Existing,Not specified,Any,Not specified,Not specified,No,"A cash prize of ₹ 10,00,000/- will be awarded to one winning startup in each of the categories by Department for Promotion of Industry and Internal Trade (DPIIT) The winner and the finalists will be given the opportunity to present their solutions to relevant public authorities and corporate for potential pilot projects and work orders. The winners and finalists will be given priority for participation in various national and international startup events where DPIIT is participating.",Not provided in source dataset,Not provided in source dataset
S004,Migrants Employment Generation Programme,Not specified,"The applicant should have returned to Tamil Nadu on & after 01-01-2020 due to the Covid-19 outbreak. The age of the applicant should be between 18 to 45 years in general and for special categories (Women/Minorities/ BC/MBC/SC/ST/Ex-servicemen/Transgender/Differently abled), the age relaxation is up to 55 years. The applicant should possess a minimum educational qualification of 8th standard pass. The family income of the applicant should be below ₹5.00 lakh. The maximum project costs for Manufacturing / Trading / Service projects should be ₹15.00 lakh / ₹5.00 lakh / ₹5.00 lakh respectively. The applicant’s/promoter’s contribution should be 10% of the project cost for the General category and 5% for the Special Category.",Business & Entrepreneurship,New/Existing,Not specified,Any,Not specified,Not specified,Yes,"Under the scheme, the subsidy @ 25% of the project cost will be sanctioned to the beneficiaries subject to a maximum of ₹2.5 lakhs.",Not provided in source dataset,Not provided in source dataset
S005,AICTE-LILAVATI AWARD,Not specified,Institutional/ Team Level comprises either of students/ faculty/ both from AICTE approved technical institution/Deemed to be University. Had undertaken remarkable intervention in the various sub-themes and made an impact in the society. The team has to showcase their work undertaken in the last two years from the date of announcement of the award for the cause of women empowerment. Note: The maximum team size will be 5 members having a minimum of 2 (two) women members.,Social welfare & Empowerment,New/Existing,Not specified,Any,Not specified,Not specified,Yes,"Award and Recognition of the work: The award in the form of prize money will be given to the 24 winning teams (three under each sub-theme) as follows: 1. Winner: ₹ 1,00,000/- 2. First Runner-up: ₹ 75,000/- 3. Second Runner-up: ₹ 50,000/- ﻿",Not provided in source dataset,Not provided in source dataset
S006,Scheme For Assistance For Start Ups/ Innovation,Not specified,"For Startups: Any individual/group of individuals having an innovative idea/concept and recommended by an approved Nodal Institution will be eligible to get recognized as a startup under this scheme. The innovative project can be from any sector or any faculty/branch of science/ technology/ engineering/ agriculture/ healthcare and no innovation worth its name is restricted from availing assistance just because of its being in a particular sector, making this a sector agnostic scheme. ﻿ Note 1: An entity formed by splitting up or reconstruction of an existing business shall not be considered a 'Startup'. Note 2: The startups which are availing incentives as a 'startup' in any other 'startup scheme' of the Government of Gujarat will not get incentives under this scheme. However, the startups/innovators availing benefits under the Student Startup and Innovation Policy (SSIP) would also be eligible to avail of assistance under this scheme. ﻿ For Nodal Institution: Any University, Government approved/ affiliated/ recognized educational institution, Incubation center, PSU, R&D Institutions, private and other establishments operating in Gujarat. The institution should be registered under the Companies Act-2013, rule of Section 8, as a 'non-profit making company'. The institution should have separate spaces and engage full-time employees for the purpose. ﻿ For Mentor: The mentor means a resource person who is registered under this scheme and associated/recommended by the Nodal Institution.",Business & Entrepreneurship,New/Existing,Not specified,Any,Not specified,Not specified,Yes,"Assistance to Startups The Quantum of Assistance as under would be provided to the Startups whose innovative project is approved/sanctioned by SLEC.  Sustenance Allowance: A sustenance allowance of ₹ 20,000 per month per startup will be provided to the Startups for a period of one year. If startups have at least one woman co-founder, ₹ 25,000 per month per startup will be provided as a sustenance allowance. ﻿ Seed Support: Seed support up to ₹ 30,00,000 will be provided to the Startups on the following, based on approval/ sanction by SLEC: 1.  Cost of raw materials/consumables/hardware & software/professional services /other equipment/ tools required for prototype/product/process development 2.  Market research Testing & Trials 3.  Marketing/ publicity assistance: Here marketing/ publicity assistance covers assistance to startups to attend national/international events. The fees/charges paid for attending the same will be considered eligible under this head. [ Note: However, it is clarified that to and fro conveyance/accommodation expenses will not be considered for assistance] ﻿ Assistance to Startups having a Significant Impact on Society: Additional support of upto ₹ 10,00,000 assistance will be provided to startups having innovative projects which have a significant impact on society, based on the conditions on approval/ sanction given by the SLEC. ﻿ Pre-Series A funding: In the life cycle of a Startup, there is a funding gap which is better identified as the valley of death. This is a phase post commercialization where the Startup has just started generating revenue till the time period where its product/service gets market traction. Such startups will be assisted in getting venture capital. Initially, to support, such mid-level Pre-series A funding to startups, a separate fund shall be created under Gujarat Venture Finance Limited (GVFL). This assistance will be specifically to cater to the startups that have already received seed support from the government under various schemes for the promotion of startups. ﻿ Interest subsidy: The startups that have been approved/sanctioned under this scheme will be eligible to avail of an additional interest subsidy of 1%, a maximum of up to 9% on term loans under the provisions of the scheme for assistance to MSMEs. ﻿ Assistance to enroll and participate in Acceleration Program: Assistance up to ₹ 3,00,000 per startup will be provided to enroll and participate in the national / internationally recognized acceleration program. Approved/sanctioned startups will be eligible for assistance up to ₹ 3,00,000 per startup during the operative period of the scheme, to enroll/participate in a national/internationally recognized acceleration program. The fees/charges paid for attending the same will be considered eligible for getting assistance. However, it is clarified that to and fro conveyance/accommodation expenses will not be considered under this assistance. ﻿ Acceleration Program: An acceleration program is typically a 3-4 month program for startups at the early traction and scaling stage. It is a process of intense, rapid, and immersive education aimed at accelerating the growth of the startup. ﻿ Assistance for Skill Development: Approved/sanctioned startups shall be provided assistance for skill development training specific to soft skills, managerial skills, marketing skills, and financing skills for the startup project. Such skill development training should support the startups in understanding the ecosystem, fundraising, commercializing, and scaling up the startup project. Financial assistance up to Rs. 1 lakh per approved/sanctioned startup shall be given for participating in such skill development training programs on a reimbursement basis. ﻿ ﻿ Assistance to the Approved/Sanctioned Nodal Institution  Mentoring Assistance: Mentoring Assistance of ₹ 1,00,000 per approved/sanctioned startup shall be provided to Nodal institution for the mentoring service (Maximum ₹ 15,00,000 per annum per institute. ﻿ Reimbursement Expenses on Organizing Promotional Events: Reimbursement of 75% of expenses incurred for organizing promotional events to the extent of a maximum ₹ 5,00,000. If the event being organized is specific to ""Women Entrepreneurship"", the Nodal Institution will be eligible for reimbursement of 90% of expenses incurred for organizing promotional events to the extent of a maximum ₹ 5,00,000. However, it is clarified that the beneficiary Nodal Institution will not be eligible to get assistance under any other scheme of Govt. of Gujarat for the same component/purpose. ﻿ Other Support: 1.  Govt. will support approved/ sanctioned Startups to get free access to universities/ Libraries/ Govt. Laboratories/ SDCs (GIDC) / Center of Excellence / PSUs to support and facilitate innovative ideas/concepts. 2.  For organizing Acceleration Programs in Gujarat any institution, would be assisted by providing financial assistance, as approved by SLEC, maximum up to the matching contribution to the expenditure incurred. 3.  The project is entitled to avail of other benefits under the schemes for assistance to MSMEs. ﻿",Not provided in source dataset,Not provided in source dataset
S007,Pradhan Mantri Formalisation Of Micro Food Processing Enterprises,Not specified,"The Eligible Borrowers for PMFMPE can be: 1.  Farmer Producer Organization (FPO) 2. Self-Help Groups 3.  Co-operatives 4.  Existing Micro Food Processing Entrepreneurs 5.  New Units, whether for individuals or groups would only be supported for One District One Product (ODOP) ﻿ Eligibility criteria for individual micro-enterprises: 1.  Existing micro food processing units in operations. 2.  Existing units should be those identified in the SLUP for ODOP products or by the Resource Person on physical verification. In the case of units using electrical power, the electricity bill would support it being in operation. For other units, existing operations, inventory, machines, and sales would form the basis. 3.  The enterprise should be unincorporated and should employ less than 10 workers. 4.  The enterprise should preferably be involved in the product identified in the ODOP of the district. Other micro-enterprises could also be considered. 5.  The applicant should have ownership rights of the enterprise. 6.  Ownership status of the enterprise could be proprietary / partnership firm. 7.  The applicant should be above 18 years of age and should possess at least VIII standard pass educational qualification. 8.  Only one person from one family would be eligible for obtaining financial assistance. The “family” for this purpose would include self, spouse, and children. 9.  Willingness to formalize and contribute10% of project cost and obtain Bank loan. 10.  Cost of the land should not be included in the Project cost. The cost of the ready-built, as well as the long lease or rental workshed, could be included in the project cost. The lease rental of the workshed to be included in the project cost should be for a maximum period of 3 years only. ﻿ Eligibility Criteria for Co-operatives/FPOs: 1.  It should preferably be engaged in the processing of ODOP produce. 2.  It should have a minimum turnover of Rs.1 crore. 3.  The cost of the project proposed should not be larger than the present turnover. 4.  The members should have sufficient knowledge and experience in dealing with the product for a minimum period of 3 years. 5.  The cooperative/FPO should have sufficient internal resources or sanction from the State Government to meet 10% of the project cost and margin money for working capital. ﻿ Eligibility Criteria for Seed Capital for SHGs: 1.  Only SHG members that are presently engaged in food processing would be eligible. 2.  The SHG member has to commit to utilizing this amount for working capital and purchase of small tools and give a commitment in this regard to the SHG and SHG federation. 3.  Before providing the seed capital, SHG Federation should collect the following basic details for each of the members: a) Details of the product being processed. b) other activities are undertaken. c) Annual turnover. d) Source of raw materials and marketing of produce. ﻿ Eligibility Criteria for Credit Linked Grant for Capital Investment for SHGs: 1.  The SHGs should have sufficient own funds for meeting 10% of the project cost and 20% margin money for working capital or sanction of the same as a grant from the State Government. 2.  The SHG members should have a minimum period of 3 years of experience in the processing of the ODOP product. ﻿ Eligibility Criteria for Branding and Marketing Support: The proposals should fulfill the following conditions: - 1.  The proposal should relate to ODOP. 2.  Minimum turnover of product to be eligible for assistance should be Rs 5 crore. 3.  The final product should be the one to be sold to the consumer in the retail pack. 4.  Applicant should be an FPO/SHG/cooperative/ regional - State levels SPV to bring a large number of producers together. 5.  Product and producers should be scalable to larger levels. 6.  Management and entrepreneurship capability of promoting entity should be established in the proposal. ﻿ Eligibility Criteria for Support to National Institutions for Capacity Building & Research: At the National level, the National Institute for Food Technology Entrepreneurship and Management (NIFTEM) and the Indian Institute of Food Processing Technology (IIFPT) would be eligible. ﻿ Eligibility Criteria for Support to State-Level Technical Institutions for Capacity Building & Research: The State Level Technical Institution should be an existing institution involved in food processing technology. This Institute could be: 1.  A college/institute under State Agriculture University or any other University. 2.  A State-owned food processing technology research Institute. 3.  An institute under CSIR or any Government of India institute focusing on food processing. 4.  If it is a college, it should have undergraduate/postgraduate courses in food processing technology and the necessary faculty. 5.  The Institute should have a full-fledged laboratory with necessary testing and processing equipment. 6.  The Institute should have faculty undertaking research work and product development and machinery for food processing, especially for MSMEs. 7.  The proposal should be recommended by the State Government. 8.  The Institute should be willing to appoint a Nodal Officer and a dedicated team consisting of at least two faculty members focusing exclusively on the Scheme. 9.  The Institute should have sufficient built-up space to undertake training for beneficiaries under the Scheme. 10.  The institute preferably should have pilot plants for processing a few products under ODOP for the State.",Business & Entrepreneurship,New/Existing,Not specified,Any,Not specified,Not specified,Yes,"The program has four broad components addressing the needs of the sector: 1.  Support to individuals and groups of micro-enterprises. 2.  Branding and Marketing support. 3.  Support for strengthening of institutions. 4.  Setting up a robust project management framework. ﻿ Support to Individual Micro Enterprises Individual micro food processing units would be provided credit-linked capital subsidy @35% of the eligible project cost with a maximum ceiling of ₹ 10,00,000 per unit. The beneficiary contribution should be a minimum of 10% of the project cost with the balance being loaned from the Bank. ﻿ Support for Farmer Producer Organizations (FPOs)/Producer Cooperatives FPOs and Producer Cooperatives: i) Grant @35% with credit linkage. ii) Training support. iii) Maximum limit of grant in such cases would be as prescribed. ﻿ Support for Self-Help Groups (SHGs): 1. Seed capital: i) Seed capital @ Rs40,000/- per member of SHG for working capital and purchase of small tools would be provided under the scheme; ii) Priority would be given to SHGs involved in ODOP produce in giving seed capital; iii) All the members of an SHG may not be involved in food processing. Therefore, seed capital would be provided at the federation level of SHGs; iv) This would be given as a grant to the SHG federation by SNA/ SRLM. SHG federation would provide this amount as a loan to the members of SHGs to be repaid to the SHG. 2. Support to individual SHG members as a single unit of the food processing industry with credit linked grant @35% with a maximum amount being Rs 10 lakh. 3. Support for capital investment at the federation of SHG level, with credit linked grant @35%. The maximum limit of funding in such cases would be as prescribed. 4. Training & Handholding Support to SHGs: For support to SHGs, a large number of trained resource persons are available with State Rural Livelihood Missions (SRLMs). These local resource persons of SRLM having expertise in agro-produce would be utilized for training, upgradation of units, DPR preparation, handholding support, etc. ﻿ Support for Common Infrastructure: The following common infrastructure would be funded under the Scheme: i) Premises for assaying of agriculture produce, sorting, grading, warehouse, and cold storage at the farm gate; ii) Common processing facility for processing of ODOP produce; iii) Incubation Centre should involve one or more product lines, which could be utilized by smaller units on a hire basis for the processing of their produce. The incubation Centre may partly be used for training purposes. It should be run on a commercial basis. ﻿ Branding and Marketing Support: i) Training relating to marketing to be fully funded under the scheme; ii) Developing a familiar brand and packaging including standardization to participate in common packaging; iii) Marketing tie up with national and regional retail chains and state-level institutions; iv) Quality control to ensure product quality meets required standards. ﻿ Convergence Framework: The Food Processing Enterprises would be eligible for benefits under the following Government Schemes: 1.  National Rural Livelihood Mission – providing seed capital, training, handholding support, and interest subvention to SHGs. 2.  Start-up Village Entrepreneurship Programme (SVEP) –It is a Centrally Sponsored Scheme, a part of NRLM, and provides capital and technical support to rural start-ups through training, handholding and support through Community Enterprises Fund (CEF) as a loan-up to ₹ 1,00,000 for individual entrepreneur and ₹ 5,00,000 for group entrepreneurs at 12% interest. 3.  Interest Subvention Scheme for incremental credit to MSMEs 2018 – 2% interest subvention on the outstanding balance. 4.  Credit Guarantee Trust Fund for Micro & Small Enterprises (CGTMSE) for a collateral-free loan up to ₹ 2,00,00,000. 5.  PM MUDRA Yojana for a loan up to ₹ 10,00,000. 6.  A Scheme for Promotion of Innovation, Rural Industry and Entrepreneurship (ASPIRE). 7.  Scheme for Fund for Regeneration of Rural Industry (SFURTI). 8.  Public Procurement Policy for MSEs. 9.  Benefits available under various other Schemes of MoFPI such as Backward & Forward Linkages, Agricultural Production Cluster, Cold Chain, etc. would be used to provide support to clusters/groups. 10.  Support from PMKVY and NRLM for skill training for SHGs, if falling within the guidelines would be taken. For shorter duration on-site training, support would be provided from NRLM and the PM FME scheme, tailor-made for such purposes",Not provided in source dataset,Not provided in source dataset
S008,Prime Minister's Employment Generation Programme,Not specified,"For PMEGP new enterprises (Units) Any individual, above 18 years of age. There will be no income ceiling for assistance in setting up projects under PMEGP. For setting up of project costing above Rs.10 lakh in the Manufacturing sector and above ₹ 5,00,000 in the Business /Service sector, the beneficiaries should possess at least VIII standard pass educational qualification. Assistance under the scheme is available only for new projects sanctioned specifically under the PMEGP. Existing Units (under PMRY, REGP, or any other scheme of the Government of India or State Government) and the units that have already availed of Government Subsidy under any other scheme of the Government of India or State Government are not eligible. For up-gradation of existing PMEGP / REGP / MUDRA units Margin Money(subsidy)claimed under PMEGP has to be successfully adjusted on the completion of the lock-in period of 3 years. The first loan under PMEGP/REGP/MUDRA has to be successfully repaid in the stipulated time. The unit is profit-making with good turnover and has the potential for further growth in turnover and profit with modernization/upgrading of the technology. Reservation / Preference / Priority Priority will be given to the persons affected by natural calamities/disasters in the areas which are declared as affected by ""disaster"" as defined under Section 2(d) of the Disaster Management Act, 2005 by the Ministry of Home Affairs.","Business & Entrepreneurship, Banking,Financial Services and Insurance, Social welfare & Empowerment, Skills & Employment",New/Existing,Not specified,Any,Not specified,Not specified,Yes,"Funds under PMEGP Scheme will be available under two major heads: 1.  Margin Money Subsidy a) Funds will be allocated under annual Budget Estimates toward disbursement of Margin Money (subsidy) for setting up new micro-enterprises/units; and b) From the funds allocated under BE for the Margin Money subsidy, ₹ 100 Crores or as approved by the competent authority will be earmarked for each FY towards disbursement of Margin Money (subsidy) for the upgradation of existing PMEGP/REGP/MUDRA units. 2.  Backward and Forward Linkages 5% of the total allocation under BE for a Financial Year against PMEGP, or as approved by the competent authority, shall be earmarked as funds under Backward and Forward Linkages and will be utilized for arranging awareness camps, State/District level monitoring meetings, Workshops, Exhibitions, Bankers meetings, TNDA, Publicity, Entrepreneurship Development Programme (EDP) training, Physical verification & Geo-tagging, Evaluation & impacts Assessment study, Setting of Entrepreneurship Facilitation Centre (EFC), Center of Excellence (CoE), Engagement of Field Experts and Data Entry Operators (DEOs), Creation and Upgradation of IT infrastructure, Awards, Call Centre facility, PMU, and other related activities and settlement of other residual liabilities by the KVIC. Levels of support under PMEGP 1.  For setting up new micro-enterprise (units) a) Categories of beneficiaries under PMEGP (for setting up of new enterprises): General Category Beneficiary's contribution (of project cost): 10% Rate of Subsidy (of project cost): 15% for Urban Areas, 25% for Rural Areas. b) Categories of beneficiaries under PMEGP (for setting up of new enterprises): Special Category (including SC, ST, OBC, Minorities, Women, Ex-Servicemen, Transgenders, Differently abled, NER, Aspirational Districts, Hill and Border areas(as notified by the Government), etc. (i) Beneficiary's contribution (of project cost): 05% (ii) Rate of Subsidy (of project cost): 25% for Urban Areas, 35% for Rural Areas. Note: The maximum cost of the project/unit admissible for Margin Money subsidy under the Manufacturing sector is ₹50,00,000. The maximum cost of the project/unit admissible for the Margin Money subsidy under the Business/Service sector is ₹20,00,000. The balance amount (excluding the own contribution)of the total project cost will be provided by Banks. If the total project cost exceeds ₹50,00,000 or ₹20,00,000 for Manufacturing and Service/Business sector respectively, the balance amount may be provided by Banks without any Government subsidy. 2.  2 nd Loan for Upgradation of Existing PMEGP / REGP / MUDRA Units a) Categories of beneficiaries under PMEGP (for upgradation of existing units): All Categories b) Beneficiary's contribution (of project cost): 10% c) Rate of Subsidy (of project cost): 15% (20% in NER and Hill States). Note: 1) The maximum cost of the project/unit admissible for Margin Money subsidy under the Manufacturing sector for upgradation is ₹10,00,00,000. The maximum subsidy would be ₹15,00,000 (₹20,00,000 for NER and Hill States). 2) The maximum cost of the project/unit admissible for Margin Money subsidy under the Business/Service sector for upgradation is ₹25,00,000. The maximum subsidy would be ₹3,75,000 (₹5,00,000 for NER and Hill States). 3) The balance amount (excluding the own contribution)of the total project cost will be provided by Banks. 4) If the total project cost exceeds ₹10,00,00,000 or ₹25,00,000 for Manufacturing and Service/Business sector respectively, the balance amount may be provided by banks without any Government subsidy.",Not provided in source dataset,Not provided in source dataset
S009,Tejaswini-the Radiant,Not specified,"Any female domicile of J&K, essentially registered with Mission Youth, J&K. Any individual women/ women entrepreneur (s)/ enterprise where women entrepreneurs hold not less than 50% of financial holding. Preference will be given to the categories of women entrepreneurs trained in Rural Self Employment Training Institutes (R-SETIs)/ Skill Development Institutions etc. any other training institute. The applicant should not be a defaulter to any Bank /Financial Institution. The financial assistance would be given only to women between the age of 18 to 35 years having a qualification of 10th standard or above. Provided that CEO Mission Youth shall be competent to relax the educational qualification criteria for deserving candidates on a case to case basis, based on proper justification. The beneficiary must be unemployed and registered with the concerned District Employment & Counseling Center No criteria regarding income of the family would be considered for the eligibility under this scheme. One woman can seek the assistance under this scheme only once. The amount of self assistance provided by Mission Youth (MY) has to be compulsorily utilized for self employment generation only. If the total project cost of the self employment unit to be set up by the beneficiary exceeds Rs 5.00 lakh, the amount over and above shall have to be self financed by the applicant. ﻿","Business & Entrepreneurship, Women and Child",New/Existing,Not specified,Any,Not specified,Not specified,Yes,"A financial assistance of Rs. 5 lakh under Mudra loan from J&K Bank Re-payment of Financial Assistance provided under this scheme shall be interest free. Mission Youth, J&K shall provide an amount of Rs. 50,000 or 10% of project cost (Whichever is minimum) as special incentive (subsidy) towards the loan which shall be adjusted towards monthly installments of the loan for first six months. Interest subsidy up to Rs 0.60 lakh per beneficiary shall be provided by Mission Youth, J&K. The interest subsidy, however, shall be provided only on production of necessary documents (including Bank statement/ Income Tax statement/ certificate by DLIC) testifying the sustainability of the activity. ﻿",Not provided in source dataset,Not provided in source dataset
S010,Students Ready,Not specified,"Eligibility A student, who is pursuing UG programme in SAUs/DUs/CAU/CUs of NARES in courses duly accredited by the National Agricultural Education Accreditation Board (NAEAB) of ICAR, New Delhi The student must maintain merit and good conduct as certified by the Head of College/University/Institution. He/  She should not remain absent during the programme without prior permission of the Competent Authority. The candidate should not participate in any agitation/ strike and should not take up any job even on part time basis or any other financial assistance for the same activities during the period.","Education & Learning, Agriculture,Rural & Environment",New/Existing,Not specified,Any,Not specified,Not specified,Yes,"Benefits The stipend payable to the Student shall be Rs. 3,000/- (Rs. 2,500/- as ICAR Share + Rs 500/- as State Share) per student per month for a maximum of six months. An amount of Rs. 500/- per student/per month will also be provided as ICAR Share towards operational expenses (meeting faculty expenses, contingency, POL, medicines, etc.) during the programme. ﻿ Mode of Payment The stipend shall commence from the month a student joins the RAWE/In Plant training/ Internship/ Industrial attachment etc. for a maximum period of six months only. The University will be paid the money in lump-sum in advance. For this university will have to submit demand to ICAR as per rule well in advance. The University shall transfer the stipend into the student’s bank account and ensure the Direct Benefit Transfer (DBT) which will be linked to AADHAR (UID) of the student beneficiary. The university will provide a copy of compiled bank statement to ICAR, New Delhi every year. The University must provide the State Share (Rs. 500/-per student per month) failing which ICAR may stop grants to the University. The student may be paid the stipend on a monthly basis at the end of each month. In no case, ICAR will make any payment directly to the student. ﻿ Termination of Stipend The stipend will be terminated if a student will leave the course before its completion. No stipend will be paid if the student changes discipline or the University without any valid reasons and prior permission of the Competent Authority..",Not provided in source dataset,Not provided in source dataset
